transaction_id,txn_date,store_id,sku_id,quantity,unit_price,revenue
TXN0000001,2024-02-24,STR013,SKU0020,17.0,5.74,97.58
TXN0000002,2024-04-23,STR003,SKU0004,,3.98,51.74
TXN0000003,2023-11-18,STR006,SKU0017,9.0,4.65,41.85
TXN0000004,2024-02-08,STR004,SKU0016,4.0,4.18,16.72
TXN0000005,2022-04-09,STR016,SKU0024,17.0,13.12,223.04
TXN0000006,2024-05-24,STR014,SKU0030,4.0,5.49,21.96
TXN0000007,2023-02-06,STR006,SKU0020,7.0,12.47,87.29
TXN0000008,2023-08-24,STR001,SKU0013,5.0,5.42,27.1
TXN0000009,23/08/2023,STR003,SKU0013,15.0,1.55,23.25
TXN0000010,2024-12-05,STR013,SKU0013,2.0,1.59,3.18
TXN0000011,2022-12-23,STR002,SKU0025,13.0,6.46,83.98
TXN0000012,2023-02-26,STR011,SKU0010,17.0,13.03,221.51
TXN0000013,2024-04-13,STR012,SKU0006,18.0,9.49,170.82
TXN0000014,2023-11-27,STR014,SKU0011,,10.67,42.68
TXN0000015,2022-12-15,STR003,SKU0001,10.0,7.1,71.0
TXN0000016,2023-01-13,STR010,SKU0004,,5.22,52.2
TXN0000017,2024-06-27,STR010,SKU0003,10.0,10.18,101.8
TXN0000018,2024-07-05,STR017,SKU0024,16.0,9.32,149.12
TXN0000019,2022-06-10,STR010,SKU0022,14.0,1.97,27.58
TXN0000020,2023-03-15,STR008,SKU0021,2.0,8.97,17.94
TXN0000021,2024-04-23,STR003,SKU0014,17.0,10.01,170.17
TXN0000022,2022-05-10,STR014,SKU0022,7.0,-6.47,45.29
TXN0000023,2022-07-21,STR013,SKU0005,25.0,6.12,153.0
TXN0000024,2022-06-23,STR014,SKU0028,15.0,12.13,181.95
TXN0000025,2023-08-02,STR013,SKU0016,10.0,6.51,65.1
TXN0000026,2023-05-10,STR018,SKU0029,13.0,5.37,69.81
TXN0000027,2022-12-18,STR018,SKU0005,9.0,12.09,108.81
TXN0000028,2022-05-30,STR006,SKU0015,15.0,14.8,222.0
TXN0000029,2023-11-30,STR004,SKU0021,4.0,3.99,15.96
TXN0000030,2024-06-03,STR019,SKU0015,12.0,6.61,79.32
TXN0000031,2022-08-22,STR014,SKU0014,1.0,1.54,1.54
TXN0000032,2024-01-01,STR020,SKU0005,14.0,8.06,112.84
TXN0000033,2024-05-21,STR010,SKU0012,18.0,5.32,95.76
TXN0000034,2023-09-03,STR020,SKU0008,15.0,12.65,189.75
TXN0000035,2023-09-21,STR003,SKU0010,14.0,13.86,194.04
TXN0000036,2022-07-02,STR012,SKU0021,16.0,3.07,49.12
TXN0000037,2024-11-15,STR010,SKU0019,11.0,13.16,144.76
TXN0000038,2024-11-14,STR001,SKU0019,12.0,4.4,52.8
TXN0000039,2024-02-20,STR004,SKU0011,12.0,-5.66,67.92
TXN0000040,2024-09-16,STR003,SKU0029,9.0,13.46,121.14
TXN0000041,2023-10-28,STR002,SKU0003,1.0,6.43,6.43
TXN0000042,2023-12-26,STR019,SKU0011,2.0,1.73,3.46
TXN0000043,2024-06-27,STR020,SKU0004,13.0,2.2,28.6
TXN0000044,2022-02-11,STR018,SKU0011,6.0,6.06,36.36
TXN0000045,2022-08-29,STR020,SKU0029,18.0,13.44,241.92
TXN0000046,2022-08-11,STR017,SKU0011,19.0,2.7,51.3
TXN0000047,2023-11-25,STR019,SKU0028,13.0,4.14,53.82
TXN0000048,2022-09-23,STR004,SKU0015,14.0,14.56,203.84
TXN0000049,2023-03-04,STR005,SKU0021,12.0,7.05,84.6
TXN0000050,26/06/2023,STR017,SKU0014,5.0,13.28,66.4
TXN0000051,2024-03-26,STR010,SKU0008,,6.68,53.44
TXN0000052,2023-07-22,STR014,SKU0023,8.0,8.5,68.0
TXN0000053,2022-01-27,STR012,SKU0030,3.0,14.28,42.84
TXN0000054,2024-01-23,STR006,SKU0008,1.0,14.41,14.41
TXN0000055,2023-04-14,STR006,SKU0024,7.0,3.73,26.11
TXN0000056,2022-05-05,STR015,SKU0008,18.0,10.64,191.52
TXN0000057,2023-12-16,STR011,SKU0022,3.0,7.23,21.69
TXN0000058,2022-10-24,STR007,SKU0024,10.0,3.52,35.2
